study_area,east,north,veg_class,blue_mean,green_mean,red_mean,nir_mean
13,305153.4865,6207204.844,ew,51,65,70,120
13,305064.3805,6207205.146,ew,54,78,79,135
13,304826.3437,6207205.395,ew,57,95,92,159
13,304915.5534,6207209.192,ttt,59,97,73,152
13,304761.775,6207210.663,ew,49,63,57,141
13,304950.4067,6207214.514,wh,48,87,74,140
13,304884.8975,6207217.861,ttt,56,97,72,149
13,304976.9035,6207222.639,ew,54,86,78,132
13,304851.8615,6207223.223,ttt,62,122,88,165
13,305089.5544,6207224.621,ew,75,98,98,126
13,305059.7845,6207228.977,ew,25,23,17,77
13,305052.4481,6207232.545,ew,40,59,54,126
13,304812.5001,6207234.173,ew,39,72,55,135
13,305015.8366,6207234.289,ew,57,82,81,129
13,304742.1322,6207238.707,ew,58,83,70,132
13,304707.0303,6207243.389,ew,52,70,78,99
11,305505.0869,6207243.97,ew,23,13,18,66
13,305155.1063,6207244.89,ew,33,40,41,97
11,305510.0715,6207244.942,ew,56,70,73,135
13,305142.7444,6207247.195,ew,52,70,73,132
13,305021.8667,6207247.475,wh,55,78,68,119
13,304875.8717,6207248.224,wh,48,73,64,125
11,305295.8457,6207248.555,ew,56,76,73,117
11,305359.697,6207249.689,ew,59,77,78,131
13,305012.9588,6207249.79,bt,49,90,73,142
11,305311.6659,6207250.814,ew,60,83,93,121
13,304995.83,6207251.589,ew,69,83,81,137
11,305353.0179,6207252.236,ew,35,41,33,108
11,305212.9609,6207254.549,ew,61,98,91,154
11,305536.0346,6207255.688,ew,50,70,65,138
13,305094.6557,6207255.713,ew,42,59,55,121
11,305684.5495,6207256.38,ew,26,30,21,69
13,304874.9012,6207257.512,wh,46,63,57,128
13,304847.9228,6207257.631,wh,43,69,57,149
11,305661.005,6207258.247,wh,43,68,55,125
13,305012.573,6207259.199,wh,55,75,65,129
13,304856.2675,6207261.278,wh,42,68,55,130
11,305676.9857,6207261.379,bt,37,63,50,128
13,305006.7734,6207262.562,ew,49,77,65,150
11,305261.0221,6207263.906,ew,52,66,66,119
11,305414.3126,6207264.474,ew,52,76,77,139
13,304702.6881,6207264.684,ew,48,67,66,135
13,304768.8519,6207268.055,ew,30,36,36,108
11,305371.9948,6207268.921,ew,49,62,53,129
13,304927.6268,6207269.261,wh,59,89,84,139
13,304998.5911,6207269.389,wh,47,80,70,145
11,305524.9863,6207269.916,ew,32,33,30,88
11,305307.5037,6207274.326,ew,38,62,66,130
11,305514.5478,6207274.705,ew,31,44,40,102
11,305453.1493,6207274.893,ew,41,42,43,82
11,305689.711,6207276.251,wh,43,64,52,115
11,305328.5303,6207276.631,ew,47,64,62,130
13,304996.1143,6207281.094,bt,32,64,43,136
11,305613.5855,6207281.215,ew,27,34,27,79
11,305450.8506,6207283.07,ew,44,63,56,138
11,305529.5295,6207283.273,ew,59,71,73,127
11,305563.9948,6207283.337,ew,52,69,69,140
11,305315.7039,6207283.897,ew,55,82,80,147
13,304959.2554,6207284.518,bt,40,67,52,129
13,305034.7621,6207285.457,ew,59,79,77,152
11,305477.2683,6207287.051,ew,45,71,61,104
13,304899.2338,6207287.327,ttt,54,99,74,145
11,305431.5083,6207287.46,ew,46,62,59,139
11,305288.3136,6207288.038,ew,16,36,27,103
13,305049.6972,6207289.079,bt,43,68,57,128
11,305518.9877,6207289.164,bt,33,54,42,109
11,305399.0517,6207289.855,ew,61,77,74,132
13,305120.2806,6207290.179,ew,73,91,108,119
13,304729.5974,6207291.106,ew,44,80,68,147
11,305707.1496,6207292.432,wh,58,81,81,114
13,305029.0215,6207292.686,bt,39,61,52,124
11,305630.3956,6207292.9,ew,128,154,164,143
13,304745.877,6207292.999,bt,34,63,45,145
11,305568.4469,6207295.309,ew,51,73,74,116
13,304702.8682,6207295.326,ew,32,33,34,96
11,305661.1526,6207296.376,wh,62,81,84,138
